Nom,Nom_Alternatif,Ville,URL,Email
SIEEEN,SIEEEN,NEVERS,https://cler.org/outils/offresemploi/conseiller-ere-en-energie-partage-cep/,"
								,
								SERVICE RH, 
								Gestionnaire RH,	
								ressources.humaines@sieeen.fr 			
							"
ENERCOOP AQUITAINE,ENERCOOP AQUITAINE,Bordeaux,https://cler.org/outils/offresemploi/stage-charge-e-de-developpement-commercial-aupres-des-professionnels/,"
								,
								Lucazeau Charles, 
								Responsable Commercial Professionnels, Grands Comptes & Collectivités,	
								recrutement.aqui@enercoop.org 			
							,
					,				
					,
				"
SIEEEN,SIEEEN,NEVERS,https://cler.org/outils/offresemploi/charge-e-de-mission-groupement-achat-energies/,"
								,
								SERVICE, 
								RH,	
								ressources.humaines@sieeen.fr 			
							"
EPICES Energie filiale d'HESPUL (association),EPICES Energie filiale d'HESPUL (association),LYON,https://cler.org/outils/offresemploi/developpeur-se-web-fullstack/,"
								,
								Philippe BACCARA, 
								Développeur Web,	
								recrutement@gederra.fr 			
							"
Fédération nationale des collectivités concédantes et r [...],Fédération nationale des collectivités concédantes et r [...],PARIS,https://cler.org/outils/offresemploi/chef-fe-de-projet-animation-du-programme-actee2-action-des-collectivites-territoriales-pour-lefficacite-energetique-2/,"
								,
								DURAND Roselyne, 
								Assistante Administrative,	
								r.durand@fnccr.asso.fr 			
							"
ENERCOOP,ENERCOOP,Paris,https://cler.org/outils/offresemploi/stage-juriste-droit-des-affaires-fh/,"
								,
								PERROUX Alexia, 
								Chargée de Recrutement,	
								recrutement@enercoop.org 			
							"
Geophom,Geophom,Oudon,https://cler.org/outils/offresemploi/charge-e-detude-photomontage-eolien/,"
								,
								David Frank, 
								gérant,	
								recrutement@geophom.fr 			
							"
SIEEEN,SIEEEN,NEVERS,https://cler.org/outils/offresemploi/charge-e-doperations-photovoltaique/,"
								,
								SERVICE RH, 
								GESTIONNAIRE RH,	
								ressources.humaines@sieeen.fr 			
							"
SYDELA,SYDELA,Orvault (44),https://cler.org/outils/offresemploi/2-charge%c2%b7es-de-mission-maitrise-de-lenergie/,"
								,
								FLAMBEAUX Etienne, 
								Responsable ingénierie service,	
								contacts@sydela.fr 			
							"
SYNDICAT DEPARTEMENTAL D'ENERGIE DES COTES D'ARMOR,SYNDICAT DEPARTEMENTAL D'ENERGIE DES COTES D'ARMOR,SAINT BRIEUC,https://cler.org/outils/offresemploi/charge-e-de-mission-achats-denergie/,"
								,
								SYNDICAT DEPARTEMENTAL D'ENERGIE DES COTES D'ARMOR,
								53 BD CARNOT,		
								22000 
								SAINT BRIEUC							"
SICECO,SICECO,DIJON,https://cler.org/outils/offresemploi/technicien-ne-superieur-en-energie-conseiller-en-energie-partage-cep/,"
								,
								HERMAND Nathalie, 
								Adjointe RH/Marchés publics,	
								nhermand@siceco.fr 			
							"
Parc naturel régional du Vexin français,Parc naturel régional du Vexin français,THEMERICOURT,https://cler.org/outils/offresemploi/charge-e-de-mission-eco-construction-et-renovation-du-patrimoine-bati/,"
								,
								Parc naturel régional du Vexin français,
								Maison du Parc,		
								95450 
								THEMERICOURT							,
								,
								Gautier Patrick, 
								Responsable pôle aménagement,	
								p.gautier@pnr-vexin-francais.fr 			
							"
