name,date_posted,location,department,society_name,contract_type,experience_level,contact,apply_before,Link
Chargé.e de mission achats d’énergie,2020-08-26,SAINT BRIEUC,22,SYNDICAT DEPARTEMENTAL D'ENERGIE DES COTES D'ARMOR,Autre,1 à 3 ans,,Postulez avant le 27/09/2020,https://cler.org/outils/offresemploi/charge-e-de-mission-achats-denergie/
2 chargé·es de mission « Maîtrise de l’énergie »,2020-08-13,Orvault (44),44,SYDELA,CDD,1 à 3 ans,contacts@sydela.fr,Postulez avant le 30/09/2020,https://cler.org/outils/offresemploi/2-charge%c2%b7es-de-mission-maitrise-de-lenergie/
Stage – Chargé.e de développement commercial auprès des Professionnels,2020-06-19,Bordeaux,33,ENERCOOP AQUITAINE,Stage,Jeune diplômé(e),recrutement.aqui@enercoop.org,Postulez avant le 30/09/2020,https://cler.org/outils/offresemploi/stage-charge-e-de-developpement-commercial-aupres-des-professionnels/
Développeur.se WEB FULLSTACK,2020-04-28,LYON,69,EPICES Energie filiale d'HESPUL (association),CDI,3 à 5 ans,recrutement@gederra.fr,Postulez avant le 25/09/2020,https://cler.org/outils/offresemploi/developpeur-se-web-fullstack/
Chef.fe de projet « Animation du programme ACTEE2 – Action des Collectivités Territoriales pour l’Efficacité Énergétique 2 »,2020-07-08,PARIS,75,Fédération nationale des collectivités concédantes et r [...],CDD,5 à 10 ans,r.durand@fnccr.asso.fr,Postulez avant le 31/12/2023,https://cler.org/outils/offresemploi/chef-fe-de-projet-animation-du-programme-actee2-action-des-collectivites-territoriales-pour-lefficacite-energetique-2/
Chargé.e d’opérations photovoltaïque,2020-06-23,NEVERS,58,SIEEEN,CDD,1 à 3 ans,ressources.humaines@sieeen.fr,Postulez avant le 01/10/2020,https://cler.org/outils/offresemploi/charge-e-doperations-photovoltaique/
Stage – Juriste droit des affaires F/H,2020-07-30,Paris,75,ENERCOOP,Stage,Jeune diplômé(e),recrutement@enercoop.org,Postulez avant le 20/09/2020,https://cler.org/outils/offresemploi/stage-juriste-droit-des-affaires-fh/
Chargé.e d’étude photomontage éolien,2020-07-15,Oudon,44,Geophom,CDI,1 à 3 ans,recrutement@geophom.fr,Postulez avant le 30/09/2020,https://cler.org/outils/offresemploi/charge-e-detude-photomontage-eolien/
Technicien.ne supérieur en énergie – Conseiller en Énergie Partagé (CEP),2020-07-30,DIJON,21,SICECO,CDD,Jeune diplômé(e),nhermand@siceco.fr,Postulez avant le 30/09/2020,https://cler.org/outils/offresemploi/technicien-ne-superieur-en-energie-conseiller-en-energie-partage-cep/
Chargé.e de mission Eco-construction et rénovation du patrimoine bâti,2020-07-31,THEMERICOURT,95,Parc naturel régional du Vexin français,CDD,3 à 5 ans,p.gautier@pnr-vexin-francais.fr,Postulez avant le 30/09/2020,https://cler.org/outils/offresemploi/charge-e-de-mission-eco-construction-et-renovation-du-patrimoine-bati/
Conseiller.ère en énergie partagé – CEP,2019-04-19,NEVERS,58,SIEEEN,CDD,3 à 5 ans,ressources.humaines@sieeen.fr,Postulez avant le 01/10/2020,https://cler.org/outils/offresemploi/conseiller-ere-en-energie-partage-cep/
Chargé.e de mission groupement achat énergies,2020-03-25,NEVERS,58,SIEEEN,CDD,1 à 3 ans,ressources.humaines@sieeen.fr,Postulez avant le 30/09/2020,https://cler.org/outils/offresemploi/charge-e-de-mission-groupement-achat-energies/
